Bechmark;Name;Succ;Fail;Send Rate (TPS);Max Latency (s);Min Latency (s);Avg Latency (s);Throughput (TPS)
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_17_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 17;3048;0;16.9;2.20;0.18;2.01;16.7
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_864_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 864;4184;0;23.2;2.45;0.67;1.18;22.9
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_8641_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 8641;38;86;0.7;11.20;1.33;8.29;0.5
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_68_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 68;2884;0;15.9;2.36;0.31;2.15;15.7
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_108_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 108;5220;0;29.0;2.29;0.21;0.80;28.8
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_6863_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 6863;37;95;0.7;12.06;1.01;8.01;0.5
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_2732_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 2732;35;125;0.8;4.74;0.66;3.07;0.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_43_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 43;3006;0;16.5;2.29;0.28;2.08;16.4
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_1087_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 1087;3461;0;19.2;2.88;0.60;1.39;19.1
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_136_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 136;4667;0;25.9;2.28;0.32;0.95;25.8
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_8641_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 8641;37;124;0.7;15.27;1.27;10.69;0.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_344_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 344;6776;0;37.6;2.43;0.29;0.70;37.5
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_68_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 68;2803;0;15.5;2.34;0.31;2.15;15.3
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_10878_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 10878;52;119;0.7;16.86;1.49;9.51;0.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_2732_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 2732;36;125;0.8;5.20;0.71;3.15;0.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_5452_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 5452;36;126;0.7;7.79;0.83;5.58;0.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_54_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 54;2981;0;16.6;2.31;0.30;2.10;16.4
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_13695_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 13695;12;324;1.7;14.20;2.09;7.66;1.7
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_4330_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 4330;39;125;0.8;9.56;0.74;5.45;0.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_6863_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 6863;42;103;0.8;13.04;0.92;8.94;0.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_27_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 27;3007;0;16.6;2.23;0.27;2.04;16.4
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_217_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 217;5555;0;43.9;2.38;0.35;0.75;43.7
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_34_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 34;2966;0;16.5;2.27;0.29;2.06;16.3
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_136_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 136;4597;0;25.5;2.27;0.31;0.95;25.2
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_3440_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 3440;35;124;0.8;5.48;0.79;3.97;0.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_217_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 217;6181;0;44.4;2.34;0.34;0.69;44.2
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_273_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 273;7306;0;40.6;2.36;0.34;0.63;40.2
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_34_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 34;2966;0;16.4;2.27;0.28;2.06;16.2
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_13695_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 13695;416;0;2.3;22.13;2.13;11.52;2.2
