Bechmark;Name;Succ;Fail;Send Rate (TPS);Max Latency (s);Min Latency (s);Avg Latency (s);Throughput (TPS)
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_10_orgs_5_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 10;25348;0;141.0;2.73;0.27;1.13;140.7
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_1000_orgs_4_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 1000;145;606;4.0;10.83;0.67;7.34;3.1
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_1000_orgs_3_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 1000;123;823;4.1;10.98;0.69;8.85;3.2
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_500_orgs_4_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 500;322;906;6.0;8.00;0.62;5.00;4.7
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_10_orgs_6_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 10;22570;0;125.5;3.38;0.20;1.23;124.8
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_100_orgs_3_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 100;18665;0;103.8;3.90;0.34;1.57;102.8
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_100_orgs_5_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 100;16661;0;92.7;4.08;0.35;1.77;91.8
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_10_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 10;28152;0;156.6;2.29;0.19;0.88;155.3
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_500_orgs_5_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 500;445;651;6.0;9.16;0.61;6.03;4.5
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_100_orgs_4_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 100;18067;0;100.5;3.35;0.29;1.65;99.5
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_1000_orgs_6_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 1000;146;605;4.1;13.66;0.72;9.45;3.1
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_1000_orgs_5_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 1000;151;606;3.9;11.91;0.67;8.04;3.0
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_500_orgs_3_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 500;878;608;7.6;6.62;0.62;4.57;5.8
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_100_orgs_6_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 100;15498;0;85.6;4.39;0.33;1.97;84.8
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_100_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 100;19117;0;106.3;3.00;0.25;1.54;105.2
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_1000_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 1000;142;723;4.8;8.99;0.69;6.68;3.6
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_10_orgs_3_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 10;28365;0;157.8;2.30;0.24;0.92;156.4
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_500_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 500;2435;607;16.8;6.58;0.63;4.25;12.6
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_10_orgs_4_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 10;27088;0;150.7;2.21;0.29;0.98;150.3
../launcher/results/exp_3_multiple_orgs/exp_3_chunklen_500_orgs_6_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 500;261;904;5.6;9.98;0.66;6.22;4.3
