Bechmark;Name;Succ;Fail;Send Rate (TPS);Max Latency (s);Min Latency (s);Avg Latency (s);Throughput (TPS)
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39.yaml.html;Policy Gateway 208;100;0;4.0;4.32;0.29;2.34;3.9
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39.yaml.html;Policy Gateway 417;100;0;2.0;4.30;0.26;2.38;1.9
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39.yaml.html;Policy Gateway 833;100;0;1.0;4.35;0.28;2.44;1.0
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39.yaml.html;Policy Gateway 1666;100;0;0.5;4.42;0.34;2.74;0.5
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39.yaml.html;Policy Gateway 4165;100;0;0.2;4.58;4.46;4.51;0.2
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39.yaml.html;Policy Gateway 8330;100;0;0.1;0.85;0.73;0.79;0.1
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39.yaml.html;Policy Gateway 12495;100;0;0.1;1.24;0.99;1.08;0.1
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39.yaml.html;Policy Gateway 16660;100;0;0.1;1.49;1.25;1.36;0.1
../launcher/results/exp_1_nominal_performances/vm_11_del_74_jit_39.yaml.html;Policy Gateway 208;100;0;4.0;2.26;0.18;1.24;3.8
../launcher/results/exp_1_nominal_performances/vm_11_del_74_jit_39.yaml.html;Policy Gateway 417;100;0;2.0;2.24;0.20;1.26;2.0
../launcher/results/exp_1_nominal_performances/vm_11_del_74_jit_39.yaml.html;Policy Gateway 833;100;0;1.0;2.30;0.24;1.39;1.0
../launcher/results/exp_1_nominal_performances/vm_11_del_74_jit_39.yaml.html;Policy Gateway 1666;100;0;0.5;2.37;0.30;1.52;0.5
../launcher/results/exp_1_nominal_performances/vm_11_del_74_jit_39.yaml.html;Policy Gateway 4165;100;0;0.2;0.54;0.44;0.49;0.2
../launcher/results/exp_1_nominal_performances/vm_11_del_74_jit_39.yaml.html;Policy Gateway 8330;100;0;0.1;0.92;0.72;0.80;0.1
../launcher/results/exp_1_nominal_performances/vm_11_del_74_jit_39.yaml.html;Policy Gateway 12495;100;0;0.1;1.23;1.03;1.12;0.1
../launcher/results/exp_1_nominal_performances/vm_11_del_74_jit_39.yaml.html;Policy Gateway 16660;100;0;0.1;1.53;1.33;1.42;0.1
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_pl_3.yaml.html;Policy Gateway 208;100;0;4.0;4.32;0.26;2.30;4.0
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_pl_3.yaml.html;Policy Gateway 417;100;0;2.0;4.27;0.24;2.38;1.9
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_pl_3.yaml.html;Policy Gateway 833;100;0;1.0;4.36;0.29;2.47;1.0
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_pl_3.yaml.html;Policy Gateway 1666;100;0;0.5;4.42;0.33;2.62;0.5
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_pl_3.yaml.html;Policy Gateway 4165;100;0;0.2;4.57;4.45;4.50;0.2
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_pl_3.yaml.html;Policy Gateway 8330;100;0;0.1;0.85;0.71;0.78;0.1
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_pl_3.yaml.html;Policy Gateway 12495;100;0;0.1;1.20;0.99;1.08;0.1
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_pl_3.yaml.html;Policy Gateway 16660;100;0;0.1;1.45;1.25;1.33;0.1
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 208;100;0;4.0;4.32;0.24;2.31;4.0
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 417;100;0;2.0;4.28;0.24;2.38;1.9
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 833;100;0;1.0;4.35;0.29;2.40;1.0
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 1666;100;0;0.5;4.42;0.35;2.68;0.5
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 4165;100;0;0.2;4.58;4.46;4.51;0.2
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 8330;100;0;0.1;0.88;0.72;0.80;0.1
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 12495;100;0;0.1;1.18;1.02;1.08;0.1
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 16660;100;0;0.1;1.50;1.29;1.37;0.1
../launcher/results/exp_1_nominal_performances/vm_09.yaml.html;Policy Gateway 208;100;0;4.0;4.31;0.24;2.33;3.5
../launcher/results/exp_1_nominal_performances/vm_09.yaml.html;Policy Gateway 417;100;0;2.0;4.29;0.26;2.39;1.9
../launcher/results/exp_1_nominal_performances/vm_09.yaml.html;Policy Gateway 833;100;0;1.0;4.35;0.28;2.50;1.0
../launcher/results/exp_1_nominal_performances/vm_09.yaml.html;Policy Gateway 1666;100;0;0.5;4.42;0.34;2.64;0.5
../launcher/results/exp_1_nominal_performances/vm_09.yaml.html;Policy Gateway 4165;100;0;0.2;4.56;4.45;4.50;0.2
../launcher/results/exp_1_nominal_performances/vm_09.yaml.html;Policy Gateway 8330;100;0;0.1;0.89;0.72;0.78;0.1
