Bechmark;Name;Succ;Fail;Send Rate (TPS);Max Latency (s);Min Latency (s);Avg Latency (s);Throughput (TPS)
../launcher/results/exp_1_nominal_performances/vm_09.yaml.html;Policy Gateway 12495;100;0;0.1;1.17;1.04;1.10;0.1
../launcher/results/exp_1_nominal_performances/vm_09.yaml.html;Policy Gateway 16660;100;0;0.1;1.50;1.27;1.37;0.1
../launcher/results/exp_1_nominal_performances/vm_09_pl_3.yaml.html;Policy Gateway 208;100;0;4.0;4.33;0.26;2.31;4.0
../launcher/results/exp_1_nominal_performances/vm_09_pl_3.yaml.html;Policy Gateway 417;100;0;2.0;4.29;0.26;2.39;1.9
../launcher/results/exp_1_nominal_performances/vm_09_pl_3.yaml.html;Policy Gateway 833;100;0;1.0;4.34;0.27;2.44;1.0
../launcher/results/exp_1_nominal_performances/vm_09_pl_3.yaml.html;Policy Gateway 1666;100;0;0.5;4.41;0.31;2.64;0.5
../launcher/results/exp_1_nominal_performances/vm_09_pl_3.yaml.html;Policy Gateway 4165;100;0;0.2;4.60;4.46;4.51;0.2
../launcher/results/exp_1_nominal_performances/vm_09_pl_3.yaml.html;Policy Gateway 8330;100;0;0.1;0.85;0.73;0.79;0.1
../launcher/results/exp_1_nominal_performances/vm_09_pl_3.yaml.html;Policy Gateway 12495;100;0;0.1;1.20;1.01;1.08;0.1
../launcher/results/exp_1_nominal_performances/vm_09_pl_3.yaml.html;Policy Gateway 16660;100;0;0.1;1.49;1.25;1.35;0.1
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39.yaml.html;Policy Gateway 208;100;0;4.0;4.34;0.26;2.32;4.0
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39.yaml.html;Policy Gateway 417;100;0;2.0;4.30;0.25;2.38;1.9
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39.yaml.html;Policy Gateway 833;100;0;1.0;4.35;0.30;2.50;1.0
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39.yaml.html;Policy Gateway 1666;100;0;0.5;4.41;0.36;2.69;0.5
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39.yaml.html;Policy Gateway 4165;100;0;0.2;4.59;4.46;4.51;0.2
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39.yaml.html;Policy Gateway 8330;100;0;0.1;0.89;0.74;0.79;0.1
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39.yaml.html;Policy Gateway 12495;100;0;0.1;1.19;0.98;1.09;0.1
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39.yaml.html;Policy Gateway 16660;100;0;0.1;1.48;1.28;1.36;0.1
../launcher/results/exp_1_nominal_performances/vm_11_pl_3.yaml.html;Policy Gateway 208;100;0;4.0;2.27;0.18;1.26;3.9
../launcher/results/exp_1_nominal_performances/vm_11_pl_3.yaml.html;Policy Gateway 417;100;0;2.0;2.23;0.17;1.30;2.0
../launcher/results/exp_1_nominal_performances/vm_11_pl_3.yaml.html;Policy Gateway 833;100;0;1.0;2.29;0.23;1.37;1.0
../launcher/results/exp_1_nominal_performances/vm_11_pl_3.yaml.html;Policy Gateway 1666;100;0;0.5;2.36;0.30;1.58;0.5
../launcher/results/exp_1_nominal_performances/vm_11_pl_3.yaml.html;Policy Gateway 4165;100;0;0.2;0.55;0.44;0.49;0.2
../launcher/results/exp_1_nominal_performances/vm_11_pl_3.yaml.html;Policy Gateway 8330;100;0;0.1;0.90;0.74;0.81;0.1
../launcher/results/exp_1_nominal_performances/vm_11_pl_3.yaml.html;Policy Gateway 12495;100;0;0.1;1.22;1.02;1.12;0.1
../launcher/results/exp_1_nominal_performances/vm_11_pl_3.yaml.html;Policy Gateway 16660;100;0;0.1;1.53;1.31;1.42;0.1
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 208;100;0;4.0;2.28;0.17;1.24;3.8
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 417;100;0;2.0;2.24;0.20;1.30;2.0
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 833;100;0;1.0;2.29;0.24;1.39;1.0
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 1666;100;0;0.5;2.38;0.29;1.56;0.5
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 4165;100;0;0.2;0.56;0.45;0.49;0.2
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 8330;100;0;0.1;0.89;0.74;0.80;0.1
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 12495;100;0;0.1;1.19;1.01;1.10;0.1
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 16660;100;0;0.1;1.56;1.30;1.40;0.1
../launcher/results/exp_1_nominal_performances/vm_11.yaml.html;Policy Gateway 208;100;0;4.0;2.24;0.18;1.26;3.9
../launcher/results/exp_1_nominal_performances/vm_11.yaml.html;Policy Gateway 417;100;0;2.0;2.23;0.19;1.26;2.0
../launcher/results/exp_1_nominal_performances/vm_11.yaml.html;Policy Gateway 833;100;0;1.0;2.31;0.24;1.40;1.0
../launcher/results/exp_1_nominal_performances/vm_11.yaml.html;Policy Gateway 1666;100;0;0.5;2.37;0.30;1.51;0.5
../launcher/results/exp_1_nominal_performances/vm_11.yaml.html;Policy Gateway 4165;100;0;0.2;0.57;0.44;0.49;0.2
../launcher/results/exp_1_nominal_performances/vm_11.yaml.html;Policy Gateway 8330;100;0;0.1;0.89;0.73;0.80;0.1
../launcher/results/exp_1_nominal_performances/vm_11.yaml.html;Policy Gateway 12495;100;0;0.1;1.34;1.01;1.10;0.1
../launcher/results/exp_1_nominal_performances/vm_11.yaml.html;Policy Gateway 16660;100;0;0.1;1.86;1.28;1.41;0.1
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39_pl_3.yaml.html;Policy Gateway 208;100;0;4.0;4.35;0.24;2.31;4.0
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39_pl_3.yaml.html;Policy Gateway 417;100;0;2.0;4.29;0.24;2.35;1.9
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39_pl_3.yaml.html;Policy Gateway 833;100;0;1.0;4.35;0.28;2.47;1.0
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39_pl_3.yaml.html;Policy Gateway 1666;100;0;0.5;4.42;0.35;2.64;0.5
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39_pl_3.yaml.html;Policy Gateway 4165;100;0;0.2;4.59;4.47;4.51;0.2
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39_pl_3.yaml.html;Policy Gateway 8330;100;0;0.1;0.91;0.72;0.79;0.1
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39_pl_3.yaml.html;Policy Gateway 12495;100;0;0.1;1.16;0.99;1.07;0.1
../launcher/results/exp_1_nominal_performances/vm_09_del_74_jit_39_pl_3.yaml.html;Policy Gateway 16660;100;0;0.1;1.56;1.28;1.37;0.1
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920.yaml.html;Policy Gateway 208;100;0;4.0;2.26;0.19;1.27;3.9
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920.yaml.html;Policy Gateway 417;100;0;2.0;2.26;0.20;1.30;2.0
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920.yaml.html;Policy Gateway 833;100;0;1.0;2.32;0.24;1.40;1.0
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920.yaml.html;Policy Gateway 1666;100;0;0.5;2.39;0.33;1.57;0.5
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920.yaml.html;Policy Gateway 4165;100;0;0.2;0.57;0.46;0.50;0.2
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920.yaml.html;Policy Gateway 8330;100;0;0.1;0.92;0.76;0.82;0.1
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920.yaml.html;Policy Gateway 12495;100;0;0.1;1.24;1.02;1.14;0.1
../launcher/results/exp_1_nominal_performances/vm_11_thr_2920.yaml.html;Policy Gateway 16660;100;0;0.1;1.62;1.35;1.46;0.1
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920.yaml.html;Policy Gateway 208;100;0;4.0;4.33;0.27;2.33;3.9
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920.yaml.html;Policy Gateway 417;100;0;2.0;4.29;0.24;2.38;1.9
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920.yaml.html;Policy Gateway 833;100;0;1.0;4.36;0.29;2.39;1.0
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920.yaml.html;Policy Gateway 1666;100;0;0.5;4.41;0.34;2.63;0.5
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920.yaml.html;Policy Gateway 4165;100;0;0.2;4.56;4.45;4.50;0.2
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920.yaml.html;Policy Gateway 8330;100;0;0.1;0.89;0.74;0.79;0.1
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920.yaml.html;Policy Gateway 12495;100;0;0.1;1.22;1.00;1.07;0.1
../launcher/results/exp_1_nominal_performances/vm_09_thr_2920.yaml.html;Policy Gateway 16660;100;0;0.1;1.46;1.28;1.37;0.1
